
sentence_id,x_form,y_form,upos_x,upos_y,parallelism,licensing,dist_x_anchor,dist_anchor_y,corpus
syn-gum-0,X0,Y0,NOUN,OTHER,0,0,2,2,gum
syn-gum-1,X1,Y1,ADJ,NOUN,0,1,1,1,gum
syn-gum-2,X2,Y2,NOUN,ADJ,0,1,3,1,gum
syn-gum-3,X3,Y3,VERB,VERB,1,0,1,2,gum
syn-gum-4,X4,Y4,NOUN,OTHER,0,1,2,3,gum
syn-gum-5,X5,Y5,OTHER,OTHER,0,0,1,2,gum
syn-gum-6,X6,Y6,OTHER,VERB,0,0,3,1,gum
syn-gum-7,X7,Y7,VERB,VERB,1,1,1,3,gum
syn-gum-8,X8,Y8,NOUN,OTHER,0,1,3,1,gum
syn-gum-9,X9,Y9,ADJ,NOUN,0,1,2,2,gum
syn-gum-10,X10,Y10,ADJ,NOUN,0,0,1,2,gum
syn-gum-11,X11,Y11,ADJ,ADJ,1,0,2,2,gum
syn-ewt-0,X0,Y0,VERB,OTHER,0,0,2,2,ewt
syn-ewt-1,X1,Y1,OTHER,NOUN,0,1,1,2,ewt
syn-ewt-2,X2,Y2,NOUN,ADJ,0,0,1,3,ewt
syn-ewt-3,X3,Y3,VERB,ADJ,0,1,1,3,ewt
syn-ewt-4,X4,Y4,NOUN,VERB,0,1,1,2,ewt
syn-ewt-5,X5,Y5,VERB,OTHER,0,0,3,2,ewt
syn-ewt-6,X6,Y6,VERB,VERB,1,0,2,3,ewt
syn-ewt-7,X7,Y7,VERB,VERB,1,0,2,1,ewt
syn-ewt-8,X8,Y8,NOUN,VERB,0,1,3,2,ewt
syn-ewt-9,X9,Y9,NOUN,ADJ,0,0,3,2,ewt
syn-ewt-10,X10,Y10,VERB,VERB,1,1,1,2,ewt
syn-ewt-11,X11,Y11,OTHER,NOUN,0,0,1,2,ewt
syn-ewt-12,X12,Y12,OTHER,VERB,0,0,1,1,ewt
syn-ewt-13,X13,Y13,VERB,OTHER,0,1,3,2,ewt
syn-ewt-14,X14,Y14,NOUN,ADJ,0,0,3,2,ewt
