construction,train,test,full_pr_auc,shuffle_mean,shuffle_lo,shuffle_hi
all_cleft,childes,ewt,0.6137374860956619,0.29749972377367956,0.13839828053452946,0.6137374860956619
all_cleft,childes,gum,0.5796721804511278,0.2937134149018167,0.12299178406991813,0.5796721804511278
all_cleft,ewt,childes,0.8301348039215687,0.42894021343978234,0.17988425925925924,0.8301348039215687
all_cleft,ewt,gum,0.5796721804511278,0.297762479092304,0.12299178406991813,0.5796721804511278
all_cleft,gum,childes,0.8301348039215687,0.42052248900910116,0.17988425925925924,0.8301348039215687
all_cleft,gum,ewt,0.6137374860956619,0.3144951968530205,0.13839828053452946,0.6137374860956619
npn,ewt,gum,1.0,0.9052173913043479,0.8260869565217391,1.0
npn,gum,ewt,1.0,0.88875,0.75,1.0
resultative_adj,childes,ewt,0.9333333333333333,0.5237777777777778,0.08888888888888889,0.9333333333333333
resultative_adj,childes,gum,0.8947368421052632,0.5285526315789474,0.0625,0.8947368421052632
resultative_adj,childes,lines,1.0,0.5974626865671641,0.07462686567164178,1.0
resultative_adj,ewt,childes,1.0,0.5777777777777777,0.1111111111111111,1.0
resultative_adj,ewt,gum,0.8947368421052632,0.5160690789473683,0.0625,0.8947368421052632
resultative_adj,ewt,lines,1.0,0.5188059701492537,0.07462686567164178,1.0
resultative_adj,gum,childes,1.0,0.36,0.1111111111111111,1.0
resultative_adj,gum,ewt,0.9333333333333333,0.3633333333333333,0.08888888888888889,0.9333333333333333
resultative_adj,gum,lines,1.0,0.40776119402985067,0.07462686567164178,1.0
resultative_adj,lines,childes,1.0,0.6222222222222221,0.1111111111111111,1.0
resultative_adj,lines,ewt,0.9333333333333333,0.5406666666666666,0.08888888888888889,0.9333333333333333
resultative_adj,lines,gum,0.8947368421052632,0.5327138157894737,0.0625,0.8947368421052632
resultative_pooled,childes,ewt,0.8787878787878788,0.034742568521834966,0.0023719941109111727,0.1058717741210368
resultative_pooled,childes,gum,0.68,0.029472501790372262,0.0016335159027577593,0.68
resultative_pooled,childes,lines,1.0,0.03772799113468737,0.0020588840848260242,0.0966911764705935
resultative_pooled,ewt,childes,0.9047619047619048,0.1403119181109161,0.001297371116421987,0.9047619047619048
resultative_pooled,ewt,gum,0.68,0.07251130648126479,0.0016335159027577593,0.68
resultative_pooled,ewt,lines,1.0,0.11514120008719982,0.0020588840848260242,1.0
resultative_pooled,gum,childes,0.9047619047619048,0.07421310203012704,0.001297371116421987,0.9047619047619048
resultative_pooled,gum,ewt,0.8787878787878788,0.06942557697753368,0.0023719941109111727,0.8787878787878788
resultative_pooled,gum,lines,1.0,0.06520445021739396,0.0020588840848260242,1.0
resultative_pooled,lines,childes,0.9047619047619048,0.04708187880037929,0.001297371116421987,0.13421543316122078
resultative_pooled,lines,ewt,0.8787878787878788,0.059604205361269036,0.0023719941109111727,0.8787878787878788
resultative_pooled,lines,gum,0.68,0.02816083063898629,0.0016335159027577593,0.059233449477351915
way_construction,ewt,lines,1.0,0.4094604106357085,0.12772727272727274,1.0
way_construction,lines,ewt,0.8865546218487395,0.2720464180823247,0.04055753598081023,0.8865546218487395
