construction,train,test,n_train,pos_train,n_test,pos_test,full_pr_auc,no_cue1_pr_auc,no_cue1_delta,no_cue2_pr_auc,no_cue2_delta,no_cue3_pr_auc,no_cue3_delta
npn,ewt,gum,24,18,23,19,1.0,1.0,0.0,1.0,0.0,0.8260869565217391,0.17391304347826086
npn,gum,ewt,23,19,24,18,1.0,1.0,0.0,1.0,0.0,0.75,0.25
resultative_adj,childes,ewt,144,16,315,28,0.9333333333333332,0.9333333333333332,0.0,0.9333333333333332,0.0,0.0888888888888888,0.8444444444444444
resultative_adj,childes,gum,144,16,272,17,0.8947368421052632,0.8947368421052632,0.0,0.8947368421052632,0.0,0.0625,0.8322368421052632
resultative_adj,childes,lines,144,16,134,10,1.0,1.0,0.0,1.0,0.0,0.0746268656716417,0.9253731343283583
resultative_adj,ewt,childes,315,28,144,16,1.0,1.0,0.0,1.0,0.0,0.1111111111111111,0.8888888888888888
resultative_adj,ewt,gum,315,28,272,17,0.8947368421052632,0.8947368421052632,0.0,0.8947368421052632,0.0,0.0625,0.8322368421052632
resultative_adj,ewt,lines,315,28,134,10,1.0,1.0,0.0,1.0,0.0,0.0746268656716417,0.9253731343283583
resultative_adj,gum,childes,272,17,144,16,1.0,1.0,0.0,1.0,0.0,0.1111111111111111,0.8888888888888888
resultative_adj,gum,ewt,272,17,315,28,0.9333333333333332,0.9333333333333332,0.0,0.9333333333333332,0.0,0.0888888888888888,0.8444444444444444
resultative_adj,gum,lines,272,17,134,10,1.0,1.0,0.0,1.0,0.0,0.0746268656716417,0.9253731343283583
resultative_adj,lines,childes,134,10,144,16,1.0,1.0,0.0,1.0,0.0,0.1111111111111111,0.8888888888888888
resultative_adj,lines,ewt,134,10,315,28,0.9333333333333332,0.9333333333333332,0.0,0.9333333333333332,0.0,0.0888888888888888,0.8444444444444444
resultative_adj,lines,gum,134,10,272,17,0.8947368421052632,0.8947368421052632,0.0,0.8947368421052632,0.0,0.0625,0.8322368421052632
resultative_pooled,childes,ewt,14645,19,12226,29,0.8787878787878788,0.8787878787878788,0.0,0.8787878787878788,0.0,0.086053412462908,0.7927344663249708
resultative_pooled,childes,gum,14645,19,10407,17,0.68,0.68,0.0,0.68,0.0,0.0592334494773519,0.6207665505226482
resultative_pooled,childes,lines,14645,19,4857,10,1.0,1.0,0.0,1.0,0.0,0.0735294117647058,0.9264705882352942
resultative_pooled,ewt,childes,12226,29,14645,19,0.9047619047619048,0.9047619047619048,0.0,0.9047619047619048,0.0,0.1144578313253012,0.7903040734366036
resultative_pooled,ewt,gum,12226,29,10407,17,0.68,0.68,0.0,0.68,0.0,0.0592334494773519,0.6207665505226482
resultative_pooled,ewt,lines,12226,29,4857,10,1.0,1.0,0.0,1.0,0.0,0.0735294117647058,0.9264705882352942
resultative_pooled,gum,childes,10407,17,14645,19,0.9047619047619048,0.9047619047619048,0.0,0.9047619047619048,0.0,0.1144578313253012,0.7903040734366036
resultative_pooled,gum,ewt,10407,17,12226,29,0.8787878787878788,0.8787878787878788,0.0,0.8787878787878788,0.0,0.086053412462908,0.7927344663249708
resultative_pooled,gum,lines,10407,17,4857,10,1.0,1.0,0.0,1.0,0.0,0.0735294117647058,0.9264705882352942
resultative_pooled,lines,childes,4857,10,14645,19,0.9047619047619048,0.9047619047619048,0.0,0.9047619047619048,0.0,0.1144578313253012,0.7903040734366036
resultative_pooled,lines,ewt,4857,10,12226,29,0.8787878787878788,0.8787878787878788,0.0,0.8787878787878788,0.0,0.086053412462908,0.7927344663249708
resultative_pooled,lines,gum,4857,10,10407,17,0.68,0.68,0.0,0.68,0.0,0.0592334494773519,0.6207665505226482
