sent_id,text,anchor_start,anchor_end,x_idx,y_idx,x_form,y_form,upos_x,upos_y,parallelism,licensing,dist_x_anchor,dist_anchor_y,corpus
GUM_academic_exposure-21,"Higher levels of proficiency (or exposure) may be associated with less attrition [17], [18], [21], [23] or even with no observed losses [21].",30,31,28,32,23,with,OTHER,OTHER,0,1,2,1,gum
GUM_bio_byron-22,"This statement, however, needs to be read in the context of hardening public attitudes toward homosexuality in England and the severe sanctions (including public hanging) against convicted or even suspected offenders. [26]",32,33,31,34,convicted,suspected,VERB,VERB,1,0,1,1,gum
GUM_essay_fear-44,"Some people are afraid of spiders, others of snakes or even cats and dogs.",11,12,10,13,snakes,cats,NOUN,NOUN,1,0,1,1,gum
GUM_court_prince-31,"I mean, derivative works are generally in a different medium, and almost all of them, even a dramatization on -- on theater or even a motion picture or a sequel, they add something new according to your definition in your brief.",26,27,25,28,theater,a,NOUN,OTHER,0,0,1,1,gum
GUM_interview_mcguire-30,"Browsing the catalog, I find that the quality of the spoken audio varies greatly from text to text or even from chapter to chapter.",20,21,19,22,text,from,NOUN,OTHER,0,0,1,1,gum
GUM_interview_shalev-69,"I like that something will be a bit of secret, or even unreliable narrator: someone tells something and first you trust him but then you read more and you become thrilled by everything.",12,13,10,14,secret,unreliable,NOUN,ADJ,0,1,2,1,gum
GUM_podcast_pandemic-43,You don't want to administer a vaccine that kills everyone or even a significant number of people.,12,13,11,14,everyone,a,OTHER,OTHER,0,0,1,1,gum
GUM_textbook_entrepreneurship-25,"Some innovations can lead to disruptions within the industry, or even create a new industry.",11,12,9,13,industry,create,NOUN,VERB,0,1,2,1,gum
GUM_whow_chicken-36,"This can cause the chicken significant discomfort, leading to fainting or even, rarely, death.",12,13,11,15,fainting,rarely,NOUN,OTHER,0,0,1,2,gum
GUM_whow_skittles-7,You can then use your Skittles vodka to make brightly-colored cocktails or even serve it as a sugary shot!,14,15,13,16,cocktails,serve,NOUN,VERB,0,1,1,1,gum
weblog-juancole.com_juancole_20030914114200_ENG_20030914_114200-0006,"Falluja has long been roiled by tense relations with the US soldiers there, since local Sunnis either remain committed to Arab nationalism or have become Sunni fundamentalists or even radicals.",29,30,28,31,fundamentalists,radicals,NOUN,NOUN,1,0,1,1,ewt
email-enronsent09_02-0007,"But let me know if I can spend a day, morning, or even just an afternoon down there with you whenever it is a good time.",14,15,12,16,morning,just,NOUN,OTHER,0,1,2,1,ewt
reviews-024306-0003,I don't recommend this place to anyone or even anything to eat.,9,10,8,11,anyone,anything,OTHER,OTHER,0,0,1,1,ewt
weblog-blogspot.com_dakbangla_20041119231111_ENG_20041119_231111-0022,"Kalkat, who currently chairs the independent US-based International Council on Conflict Resolution, said despite the failure of the Indian army to disarm or even subdue the Tigers, India remained the only power capable of influencing the course of the current peace talks.",27,28,26,29,disarm,subdue,VERB,VERB,1,0,1,1,ewt
weblog-blogspot.com_dakbangla_20050311135387_ENG_20050311_135387-0219,"First, the nature of such an investigation is that we lack sufficient information to second-guess (or even know) what the FBI is doing.",20,21,18,22,guess,know,VERB,VERB,1,1,2,1,ewt
newsgroup-groups.google.com_IdeaStockExchange_c6ea783ac3f043ba_ENG_20041120_243700-0027,"Increasingly, analysts are saying that China's efforts have gone beyond what is safe or even in its own interests.",16,17,15,18,safe,in,ADJ,OTHER,0,0,1,1,ewt
answers-20111108093211AA8bYFE_ans-0003,"I'm quite sure , you don't even have to buy another , all you need to do , is to pour some oil on the wheel , or even put some rubber on it's edges , the part that is making the noise .",30,31,28,32,wheel,put,NOUN,VERB,0,1,2,1,ewt
answers-20111108085945AAgJhOG_ans-0018,"If you have a pet store near buy some wheat,pigeon corn or even mixed bird seed will do,but do not feed bread.",14,15,13,16,corn,mixed,NOUN,VERB,0,1,1,1,ewt
answers-20111108092029AAsHTYP_ans-0023,"Crossed together (five toes is incompletely dominate) chicks could develop to have an fifth toe on both, or even one foot.",21,22,19,23,both,one,OTHER,OTHER,0,1,2,1,ewt
answers-20111108111031AARG57j_ans-0003,"(He is 92 pounds) He does not listen to any commands, but my major problem is that he will not go outside on command, or even with me.",29,30,27,31,command,with,NOUN,OTHER,0,1,2,1,ewt
answers-20111108111031AARG57j_ans-0015,"She is crate trained, potty trained, and can sit, lay down, stay, come, fetch, and will even stay in a down position while I throw a treat across the floor or even right next to her paw, and she wont get it until I give her the command.",38,39,37,40,floor,right,NOUN,OTHER,0,0,1,1,ewt
answers-20111108105520AA73Axw_ans-0022,"Use a well rinsed medicine vial, a cork, new fishing bobber or even a piece of non-crumbly styrofoam to float them.",14,15,13,16,bobber,a,NOUN,OTHER,0,0,1,1,ewt
reviews-115653-0004,I was experiencing severe back pain to the point I could barely walk or even bare to sit.,14,15,13,16,walk,bare,VERB,VERB,1,1,1,1,ewt
reviews-358702-0004,I also understand that weekend staffs are different than daytime staffs and not necessarily Starbucks A-team or even full-time.,19,20,18,21,team,full,NOUN,ADJ,0,1,1,1,ewt
reviews-022533-0003,"I called and asked about the price for hair updo and the receptionist or owner who aswered the phone refused to tell me, or even just give me an approximate price range.",25,26,23,27,me,just,OTHER,OTHER,0,1,2,1,ewt
reviews-093655-0008,I would NOT recommend having a party here or even going here.,9,10,8,11,here,going,OTHER,VERB,0,1,1,1,ewt
reviews-263870-0007,"VCU also offers high-rise living for students and professors, and the historic yet fixed-up houses in the Fan are also available to students, professors, or even people wanting to live in a safe, viable community.",32,33,30,34,professors,people,NOUN,NOUN,1,1,2,1,ewt
reviews-107692-0011,I suggest you go up to Raging Taco & Raging Burrito a couple of blocks up the street or even Taco Mac.,19,20,18,21,street,Taco,NOUN,NOUN,1,0,1,1,ewt
