family_name,median,ci_lower,ci_upper,n,mass_in_band,selection,replicate
(Unknown),32.0,29.0,34.0,103,0.765422101419601,largest,0
Abkhaz-Adyge,63.0,59.0,70.0,4,0.0011116414927713118,largest,0
Afro-Asiatic,44.0,41.0,44.0,139,0.700093821255262,largest,0
Ainu,17.0,17.0,17.0,2,,largest,0
Algic,28.0,25.0,39.0,8,0.8837308720819899,largest,0
Angan,21.0,21.0,21.0,1,,largest,0
Araucanian,28.0,28.0,28.0,3,,largest,0
Arawakan,26.0,25.0,29.0,58,0.8652588043144431,largest,0
Arawan,21.5,19.0,25.5,6,0.672085727041967,largest,0
Athabaskan-Eyak-Tlingit,49.5,44.0,54.0,14,0.5212292274191592,largest,0
Atlantic-Congo,39.0,38.0,41.0,479,0.7847122799333917,largest,0
Austroasiatic,42.0,40.0,46.0,52,0.7254025501795591,largest,0
Austronesian,25.0,24.0,27.0,131,0.8069071647080548,largest,0
Aymaran,42.0,32.0,42.0,4,0.985788686510288,largest,0
Baining,22.0,22.0,22.0,1,,largest,0
Barbacoan,26.0,25.0,28.0,9,0.9999999999540888,largest,0
Blue Nile Mao,36.0,36.0,36.0,1,,largest,0
Bookkeeping,32.5,20.0,41.0,4,0.7962653836565384,largest,0
Boran,29.5,28.0,41.0,4,0.968790779674869,largest,0
Border,22.0,19.0,23.0,3,0.7064642930403426,largest,0
Bororoan,22.0,20.0,22.0,3,0.821346839775168,largest,0
Bunaban,23.5,23.0,24.0,2,0.9999996696540798,largest,0
Caddoan,29.0,23.0,29.0,3,0.9525559050088425,largest,0
Cahuapanan,23.0,18.0,23.0,3,0.6656496981135739,largest,0
Cariban,23.0,21.0,24.0,30,0.7408490690823326,largest,0
Central Sudanic,45.0,42.0,49.0,25,0.7029533423638983,largest,0
Chapacuran,21.0,18.0,21.0,3,0.5326678147786723,largest,0
Chibchan,27.0,23.0,30.0,12,0.8807426222728669,largest,0
Chicham,24.0,22.0,25.5,6,0.908690197957679,largest,0
Chimakuan,37.0,37.0,37.0,1,,largest,0
Chiquitano,26.0,26.0,26.0,1,,largest,0
Chocoan,33.0,31.0,38.0,7,0.9999137837105174,largest,0
Chonan,35.0,29.0,35.0,3,0.999795413016374,largest,0
Chukotko-Kamchatkan,24.5,21.5,32.0,6,0.8352077217355021,largest,0
Chumashan,44.0,44.0,44.0,1,,largest,0
Cochimi-Yuman,34.0,34.0,38.0,3,0.9999999999756708,largest,0
Dajuic,30.0,30.0,30.0,1,,largest,0
Dizoid,30.0,30.0,30.0,1,,largest,0
Dogon,42.0,42.0,47.0,3,0.9643305022190823,largest,0
Dravidian,40.0,38.5,44.51249999999993,42,0.7244743738394623,largest,0
East Strickland,18.0,18.0,18.0,1,,largest,0
Eastern Daly,22.0,22.0,22.0,1,,largest,0
Eastern Jebel,49.0,49.0,49.0,2,,largest,0
Eleman,14.0,14.0,14.0,1,,largest,0
Eskimo-Aleut,36.0,27.0,38.0,7,0.9471256695864125,largest,0
Furan,30.0,30.0,30.0,1,,largest,0
Garrwan,22.0,20.0,22.0,4,0.8705078849972032,largest,0
Giimbiyu,23.0,23.0,23.0,3,,largest,0
Great Andamanese,35.0,35.0,35.0,2,,largest,0
Guahiboan,25.0,22.0,35.0,5,0.8368450651079264,largest,0
Guaicuruan,28.0,22.5,31.0,10,0.9319024151544139,largest,0
Gumuz,44.0,44.0,44.0,1,,largest,0
Gunwinyguan,27.0,25.0,27.0,19,0.9705476828296133,largest,0
Haida,50.0,50.0,50.0,2,,largest,0
Harakmbut,33.0,33.0,33.0,1,,largest,0
Heibanic,40.0,31.5,44.5,6,0.9533886726310896,largest,0
Hibito-Cholon,20.0,20.0,20.0,1,,largest,0
Hmong-Mien,52.5,49.0,61.0,4,0.3122743354163489,largest,0
Huavean,29.0,29.0,29.0,2,,largest,0
Huitotoan,26.0,20.0,38.0,5,0.8214747568953742,largest,0
Ijoid,40.0,36.5,43.5,6,0.9984901944669318,largest,0
Indo-European,44.5,42.0,45.0,192,0.6881444382681934,largest,0
Iroquoian,22.0,17.0,27.0,5,0.6246305673209812,largest,0
Iwaidjan Proper,24.0,24.0,24.0,7,0.9999999999999998,largest,0
Japonic,32.5,19.0,40.0,4,0.7758333370190907,largest,0
Jarawa-Onge,24.0,24.0,24.0,1,,largest,0
Jarrakan,22.0,20.0,24.0,2,0.7230274907412287,largest,0
Jicaquean,28.0,28.0,28.0,1,,largest,0
Kadugli-Krongo,63.0,59.0,63.0,11,0.14308605622151244,largest,0
Kakua-Nukak,26.0,24.0,26.0,3,0.9999971073933657,largest,0
Kartvelian,36.0,35.0,42.5,6,0.968663396983664,largest,0
Kawesqar,24.0,24.0,24.0,3,,largest,0
Keresan,51.0,51.0,51.0,1,,largest,0
Khoe-Kwadi,33.0,29.0,41.0,3,0.97579427268658,largest,0
Kiowa-Tanoan,42.0,41.0,61.0,5,0.5738819051694108,largest,0
Kiwaian,19.0,19.0,19.0,1,,largest,0
Koiarian,16.0,16.0,16.0,1,,largest,0
Kolopom,44.0,44.0,44.0,1,,largest,0
Koman,28.0,25.0,31.0,5,0.9956235890194447,largest,0
Konda-Yahadian,33.0,33.0,33.0,1,,largest,0
Koreanic,48.0,48.0,48.0,2,,largest,0
Kresh-Aja,52.0,48.0,56.0,2,0.37833476546544015,largest,0
Kru,39.0,36.0,48.0,11,0.7985665283782373,largest,0
Kuliak,28.0,25.0,44.0,3,0.7901535993971067,largest,0
Kunimaipan,20.0,20.0,20.0,2,,largest,0
Kxa,130.5,120.0,141.0,2,1.507191598060317e-08,largest,0
Limilngan-Wulna,25.0,25.0,25.0,1,,largest,0
Maban,37.0,29.0,45.0,2,0.7563762614766605,largest,0
Maiduan,24.0,24.0,24.0,2,,largest,0
Mande,39.5,38.0,44.0,54,0.7317995516457332,largest,0
Mangarrayi-Maran,24.0,21.0,28.0,6,0.8727028002341617,largest,0
Maningrida,26.0,21.0,27.0,5,0.9435626790480391,largest,0
Marrku-Wurrugu,24.5,23.0,26.0,2,0.9733275437813325,largest,0
Mataguayan,28.0,21.0,32.0,5,0.9252873924092309,largest,0
Mayan,32.0,30.0,36.0,14,0.9954593035285912,largest,0
Maybratic,16.0,16.0,16.0,1,,largest,0
Mirndi,21.0,19.0,23.0,8,0.6469721135254896,largest,0
Misumalpan,28.0,28.0,28.0,1,,largest,0
Miwok-Costanoan,30.0,21.0,39.0,2,0.7316572344730231,largest,0
Mixe-Zoque,29.0,25.0,32.0,7,0.9775562423246145,largest,0
Mongolic-Khitan,36.0,35.0,42.0,16,0.8552472309827444,largest,0
