family_name,N,median_inventory,iqr_inventory,selection,replicate
(Unknown),103,32.0,16.0,largest,0
Abkhaz-Adyge,4,63.0,2.75,largest,0
Afro-Asiatic,139,44.0,15.0,largest,0
Ainu,2,17.0,0.0,largest,0
Algic,8,28.0,9.5,largest,0
Angan,1,21.0,0.0,largest,0
Araucanian,3,28.0,0.0,largest,0
Arawakan,58,26.0,7.0,largest,0
Arawan,6,21.5,3.25,largest,0
Athabaskan-Eyak-Tlingit,14,49.5,10.0,largest,0
Atlantic-Congo,479,39.0,13.0,largest,0
Austroasiatic,52,42.0,10.5,largest,0
Austronesian,131,25.0,8.0,largest,0
Aymaran,4,42.0,2.5,largest,0
Baining,1,22.0,0.0,largest,0
Barbacoan,9,26.0,2.0,largest,0
Blue Nile Mao,1,36.0,0.0,largest,0
Bookkeeping,4,32.5,15.0,largest,0
Boran,4,29.5,5.5,largest,0
Border,3,22.0,2.0,largest,0
Bororoan,3,22.0,1.0,largest,0
Bunaban,2,23.5,0.5,largest,0
Caddoan,3,29.0,3.0,largest,0
Cahuapanan,3,23.0,2.5,largest,0
Cariban,30,23.0,4.75,largest,0
Central Sudanic,25,45.0,7.0,largest,0
Chapacuran,3,21.0,1.5,largest,0
Chibchan,12,27.0,5.5,largest,0
Chicham,6,24.0,0.75,largest,0
Chimakuan,1,37.0,0.0,largest,0
Chiquitano,1,26.0,0.0,largest,0
Chocoan,7,33.0,4.0,largest,0
Chonan,3,35.0,3.0,largest,0
Chukotko-Kamchatkan,6,24.5,8.75,largest,0
Chumashan,1,44.0,0.0,largest,0
Cochimi-Yuman,3,34.0,2.0,largest,0
Dajuic,1,30.0,0.0,largest,0
Dizoid,1,30.0,0.0,largest,0
Dogon,3,42.0,2.5,largest,0
Dravidian,42,40.0,13.75,largest,0
East Strickland,1,18.0,0.0,largest,0
Eastern Daly,1,22.0,0.0,largest,0
Eastern Jebel,2,49.0,0.0,largest,0
Eleman,1,14.0,0.0,largest,0
Eskimo-Aleut,7,36.0,5.5,largest,0
Furan,1,30.0,0.0,largest,0
Garrwan,4,22.0,0.5,largest,0
Giimbiyu,3,23.0,0.0,largest,0
Great Andamanese,2,35.0,0.0,largest,0
Guahiboan,5,25.0,13.0,largest,0
Guaicuruan,10,28.0,8.0,largest,0
Gumuz,1,44.0,0.0,largest,0
Gunwinyguan,19,27.0,2.0,largest,0
Haida,2,50.0,0.0,largest,0
Harakmbut,1,33.0,0.0,largest,0
Heibanic,6,40.0,8.5,largest,0
Hibito-Cholon,1,20.0,0.0,largest,0
Hmong-Mien,4,52.5,8.25,largest,0
Huavean,2,29.0,0.0,largest,0
Huitotoan,5,26.0,14.0,largest,0
Ijoid,6,40.0,5.5,largest,0
Indo-European,192,44.5,14.0,largest,0
Iroquoian,5,22.0,10.0,largest,0
Iwaidjan Proper,7,24.0,0.0,largest,0
Japonic,4,32.5,16.5,largest,0
Jarawa-Onge,1,24.0,0.0,largest,0
Jarrakan,2,22.0,2.0,largest,0
Jicaquean,1,28.0,0.0,largest,0
Kadugli-Krongo,11,63.0,4.0,largest,0
Kakua-Nukak,3,26.0,1.0,largest,0
Kartvelian,6,36.0,2.75,largest,0
Kawesqar,3,24.0,0.0,largest,0
Keresan,1,51.0,0.0,largest,0
Khoe-Kwadi,3,33.0,6.0,largest,0
Kiowa-Tanoan,5,42.0,16.0,largest,0
Kiwaian,1,19.0,0.0,largest,0
Koiarian,1,16.0,0.0,largest,0
Kolopom,1,44.0,0.0,largest,0
Koman,5,28.0,6.0,largest,0
Konda-Yahadian,1,33.0,0.0,largest,0
Koreanic,2,48.0,0.0,largest,0
Kresh-Aja,2,52.0,4.0,largest,0
Kru,11,39.0,10.0,largest,0
Kuliak,3,28.0,9.5,largest,0
Kunimaipan,2,20.0,0.0,largest,0
Kxa,2,130.5,10.5,largest,0
Limilngan-Wulna,1,25.0,0.0,largest,0
Maban,2,37.0,8.0,largest,0
Maiduan,2,24.0,0.0,largest,0
Mande,54,39.5,13.75,largest,0
Mangarrayi-Maran,6,24.0,4.5,largest,0
Maningrida,5,26.0,1.0,largest,0
Marrku-Wurrugu,2,24.5,1.5,largest,0
Mataguayan,5,28.0,0.0,largest,0
Mayan,14,32.0,5.75,largest,0
Maybratic,1,16.0,0.0,largest,0
Mirndi,8,21.0,2.5,largest,0
Misumalpan,1,28.0,0.0,largest,0
Miwok-Costanoan,2,30.0,9.0,largest,0
Mixe-Zoque,7,29.0,6.5,largest,0
Mongolic-Khitan,16,36.0,7.75,largest,0
Muskogean,5,21.0,4.0,largest,0
Naduhup,4,34.5,2.0,largest,0
Nakh-Daghestanian,17,64.0,13.0,largest,0
Nambiquaran,6,29.5,12.75,largest,0
Narrow Talodi,5,27.0,9.0,largest,0
Ndu,3,24.0,1.0,largest,0
Nilotic,31,38.0,15.5,largest,0
Nimboranic,1,18.0,0.0,largest,0
Nivkh,3,44.0,0.0,largest,0
North Bougainville,1,11.0,0.0,largest,0
North Halmahera,2,24.0,1.0,largest,0
Northern Daly,2,19.0,0.0,largest,0
Nubian,2,45.0,0.0,largest,0
Nuclear Torricelli,6,22.0,1.5,largest,0
Nuclear Trans New Guinea,31,21.0,5.0,largest,0
Nuclear-Macro-Je,26,27.0,7.25,largest,0
Nyimang,2,25.5,0.5,largest,0
Nyulnyulan,11,20.0,5.0,largest,0
Otomanguean,20,38.0,17.5,largest,0
Palaihnihan,1,23.0,0.0,largest,0
Pama-Nyungan,324,23.0,5.0,largest,0
Pano-Tacanan,34,22.0,2.75,largest,0
Peba-Yagua,3,23.0,2.5,largest,0
Pidgin,1,36.0,0.0,largest,0
Pomoan,3,38.0,0.5,largest,0
Puri-Coroado,1,18.0,0.0,largest,0
Quechuan,27,25.0,7.0,largest,0
Sahaptian,2,36.0,0.0,largest,0
Saharan,5,35.0,2.0,largest,0
Saliban,3,32.0,1.0,largest,0
Salishan,11,43.0,5.0,largest,0
Senagi,1,17.0,0.0,largest,0
Sentanic,2,17.0,0.0,largest,0
Sepik,8,19.0,10.0,largest,0
Shastan,1,21.0,0.0,largest,0
Sino-Tibetan,135,48.0,16.5,largest,0
Siouan,4,29.5,13.75,largest,0
Sko,3,23.0,5.0,largest,0
Songhay,7,48.0,5.0,largest,0
South Bird's Head,1,18.0,0.0,largest,0
South Bougainville,2,18.0,0.0,largest,0
