group,metric,n,mean,ci_low,ci_high
target,neighbor_overlap,20,0.2,0.1223925,0.2820325
target,self_cosine,20,0.535353671880553,0.5004597596099207,0.5745968909121276
target,project_acc,20,0.7083333333333333,0.575,0.8333333333333333
target,project_acc_jaccard,20,0.5750000000000001,0.4083333333333334,0.7249999999999999
target,temporal_mae,20,1.7136363636363636,1.5363636363636364,1.9227272727272726
control,neighbor_overlap,16,0.639875,0.6074875,0.680378125
control,self_cosine,16,0.7760096030438295,0.7642596544838468,0.7879191906504034
control,project_acc,16,1.0,1.0,1.0
control,project_acc_jaccard,16,1.0,1.0,1.0
control,temporal_mae,16,1.0340909090909092,1.0056818181818181,1.0681818181818181
