selection,replicate,n_languages,y_prevalence,i_prevalence,y_coef,y_or,y_cv_auc,i_coef,i_or,i_cv_auc
largest,0,2737,0.06065034709535988,0.9605407380343441,0.10173752512525278,1.107092849532075,0.7043205313604177,0.09171586499002878,1.09605335070322,0.5101701823526484
smallest,0,2737,0.056265984654731455,0.9568871026671538,0.08849001579314231,1.0925233445769564,0.6599001362798556,0.10847503914351073,1.1145770873923981,0.5198614080826256
random,1,2737,0.06028498355864085,0.9576178297405918,0.12724351969971462,1.135693547861602,0.6990433647337825,0.11347934785344382,1.1201687547642056,0.5167541427407614
random,2,2737,0.0650347095359883,0.9572524662038728,0.09491870046556021,1.0995694570072005,0.6619745848071558,0.1069162878180161,1.1128410922239407,0.5352605136807039
random,3,2737,0.06247716477895506,0.9539641943734015,0.08538798637185123,1.0891395560378325,0.6622484604712925,0.12813936142667137,1.1367114053823595,0.5389606731398235
random,4,2737,0.06101571063207892,0.9627329192546584,0.1087955299641012,1.114934356365403,0.6828262059727205,0.14290165170083044,1.1536163398817936,0.5605419182113546
random,5,2737,0.062111801242236024,0.9557910120569967,0.09649449081262354,1.1013035138396652,0.7071108025101521,0.09208187275992812,1.0964545881693375,0.4916028121410488
random,6,2737,0.061746437705516986,0.9550602849835587,0.10561286774541592,1.1113915377011736,0.7153601163044179,0.09404437522038729,1.0986084958296434,0.5094003351418419
random,7,2737,0.06101571063207892,0.9517720131530873,0.11226508296529035,1.1188093986527112,0.6725824498799645,0.1297166761748632,1.1385057718148055,0.5281859589684569
random,8,2737,0.061746437705516986,0.959079283887468,0.11543010130492351,1.1223560605823504,0.709079821295161,0.07348760886784995,1.07625520056885,0.5004130311307488
random,9,2737,0.06101571063207892,0.9535988308366825,0.11201138954841278,1.1185256000739698,0.67033974312409,0.060352624594342964,1.0622110422511613,0.5248848108718279
random,10,2737,0.05845816587504567,0.9565217391304348,0.09128283251360966,1.0955788267560325,0.6485649049149389,0.09341132539594264,1.0979132420026003,0.514583996468233
